Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
LAVAL,Cosmetics,Pre-Series A,0,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2020-01-01
Stride Ventures,Venture Capitalist,Series A,80000000,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020-01-01
BlackSoil,Fintech,Series A,10000000,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020-01-01
Biocon,Healthcare,Series A,15000000,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020-01-01
Clientjoy,Saas,Pre-Series A,800000,Gujarat,Client Management Software For Modern Agencies.,2020-01-01
Xpressbees,E-Commerce,Series A,100000000,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020-01-01
GalaxyCard,Fintech,Seed,0,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020-01-01
Wellness Forever,Healthtech,Series A,100000000,Mumbai,Wellness Forever is the one-stop destination for wellness,2020-01-01
MoooFarm,Agritech,Pre-Seed,500000,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020-01-01
BitClass,Paas Startup,Seed,2000000,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020-01-01
Gonuts,Entertainment,Seed,400000,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020-01-01
Uolo,Edtech,Seed,2000000,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020-01-01
Kirana King,Retail,Pre-Series A,900000,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020-01-01
Jade Forest,Beverages,Seed,250000,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020-01-01
iKure,Healthtech,Series A,0,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020-01-01
FrontRow,Edtech,Seed,3200000,Bangalore,"Comprehensive courses, taught by idols.",2020-01-01
Reliance Retail,E-Commerce,Series A,10000000,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020-01-01
TUBBR,Social Media,Series A,0,Frisco,World's First Personal Social Network,2020-01-01
Ather Energy,Automobiles,Series D,35000000,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020-01-01
Routematic,Saas,Series A,2000000,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020-01-01
LivFin,Fintech,Series A,4700000,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020-01-01
Universal Sportsbiz Pvt Ltd,Fashion Startup,Series A,0,Bangalore,A fashion startup based in Bengaluru.,2020-01-01
Lattu Kids,Edtech,Series A,0,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020-01-01
Eggoz,Food & Bevarages,Pre-Series A,1500000,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020-01-01
Steradian Semiconductors,Deeptech,Series A,0,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020-01-01
CHARGE+ZONE,Ev Startup,Pre-Series A,3000000,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020-01-01
Stones2milestones,Edtech,Bridge,2000000,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020-01-01
Udacity,Edtech,Debt,75000000,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020-01-01
AjnaLens,Ar/Vr Startup,Bridge,1000000,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020-01-01
Gully Network,E-Commerce,Pre-Series A,1200000,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020-01-01
TurboHire,Recruitment Startup,Seed,1000000,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020-01-01
Traya,Healthtech,Seed,0,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020-01-01
Charcoal Eats,Qsr Startup,Series A,2000000,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020-01-01
Mitron TV,Video Platform,Series A,0,Bangalore,Mitron is a free short videoplatform for next generation,2020-01-01
Svami,Food & Bevarages,Series A,800000,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020-01-01
Dhurnia,Edtech,Series A,100000,Dhingsara,Developer of an online learning platform intended for various competitive exam preparations.,2020-01-01
Expertrons,Edtech,Series A,0,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020-01-01
Leena AI,Ai,Series A,8000000,New York,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020-01-01
Bizlog,Logistics,Series A,1000000,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020-01-01
Tamasha.live,Games,Series A,300000,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020-01-01
Fedo,Ai,Series A,1000000,Bangalore,Artificial Intelligence based Credit Score for Health,2020-01-01
FabHotels,Hospitality,Series A,1000000,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020-01-01
Freshokartz,Agritech,Pre-Series A,1000000,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020-01-01
FlexiLoans,Fintech,Debt,6000000,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020-01-01
Agrix,Agritech,Series A,0,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020-01-01
BharatAgri,Agritech,Pre-Series A,0,Pune,A Smart Farming Technology Platform for Indian Farmers,2020-01-01
FreshtoHome,E-Commerce,Series C,121000000,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020-01-01
Credable,Fintech,Series A,4500000,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020-01-01
Railofy,Logistics & Supply Chain,Seed,5000000,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020-01-01
Finova Capital,Fintech,Series A,55000000,Jaipur,Finova Capital is a non-banking financial company.,2020-01-01
Teachmint,Edtech,Seed,3500000,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020-01-01
Peel-Works,E-Commerce,Series A,3000000,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020-01-01
Janani,Fertility Tech,Pre-Seed,200000,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020-01-01
Credgenics,Fintech,Seed,3300000,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020-01-01
Finelistings,Luxury Car Startup,Series A,0,New Delhi,A Used Luxury Car Marketplace,2020-01-01
Wellversed,Healthcare,Pre-Series A,0,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020-01-01
Jumbotail,E-Commerce,Series B,11000000,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020-01-01
Winzo,Games,Series A,2000000,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020-01-01
mCaffeine,Cosmetics,Series B,5000000,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020-01-01
Pocket FM,Fm,Series A,5000000,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020-01-01
Snackible,Healthcare,Bridge,0,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020-01-01
FreshtoHome,E-Commerce,Series A,16000000,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020-01-01
Jumbotail,Retail,Series B,11000000,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020-01-01
Nykaa,E-Commerce,Series A,0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020-01-01
TagZ Foods,Food Industry,Series A,0,Bangalore,TagZ Foods is a supplier of snacks and food products.,2020-01-01
Genius Teacher,Edtech,Series A,2000000,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020-01-01
Krimanshi Feeds,Nutrition Sector,Series A,500000,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020-01-01
Origo,Agritech,Debt,4000000,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020-01-01
GetVantage,Fintech,Seed,5000000,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020-01-01
Betterplace,Tech Platform,Series B,10000000,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020-01-01
Biddano,Healthcare,Pre-Series A,600000,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020-01-01
InVideo,Video,Series A,15000000,Mumbai,InVideo enables you to transform your content into great videos.,2020-01-01
Arzooo,Retail Tech,Series A,7500000,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020-01-01
Hubilo,Tech,Seed,4500000,San Francisco,World’s smartest virtual event platform that brings Experience & Intelligence together,2020-01-01
BASIC Home Loan,Fintech,Seed,5000000,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020-01-01
Ketos,Ai,Series A,18000000,San Francisco,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020-01-01
SUGAR cosmetics,Cosmetics,Debt,2000000,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020-01-01
Signzy,Fintech,Series A,5400000,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020-01-01
Ahaguru,Edtech,Series A,0,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020-01-01
Tekion,Ai,Series C,150000000,San Ramon,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020-01-01
Brighteye Ventures,Edtech,Series A,5400000,Paris,Education technology venture capital firm.,2020-01-01
EzeRx,Medtech,Seed,200000,Kolkata,Developer and manufacturer of medical devices,2020-01-01
VitalTech,Heathtech,Seed,3000000,Plano,"VitalTech is a develop technologies that empower patients to better care for their safety,",2020-01-01
Ultraviolette Automotive,Automobiles,Series B,4000000,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020-01-01
Tring,Social Media,Series A,0,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020-01-01
Rare Planet,Retail,Pre-Series A,400000,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020-01-01
GoodGamer,Games,Seed,2500000,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020-01-01
InnAccel,Medtech,Pre-Series A,1500000,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020-01-01
Tiliter,Retail,Series A,7500000,Sydney,Software that uses computer vision to recognise products without barcodes,2020-01-01
